Nb,RE,Fin,PE,Pension,Debt,NW,
237656.5,14.0471310318728,12.9599562797139,4.3987965420483,11.3959766354968,7.35931238973311,13.4308991823857,P90-P95
118828.5,9.66731339483565,9.65656382114915,5.11733001493192,6.53549617998768,4.41226293236115,9.53108354565092,P95-P97.5
71297,7.93933603925382,8.83623330568103,8.01945144948664,4.33564542203343,3.49092222691065,8.32275719554852,P97.5-P99
23765.5,3.54911399511519,4.68227848381655,7.13073092936674,1.52657751058683,1.68108107090003,4.22463980481165,P99-P99.5
19012.625,4.14323489499102,6.80845008367324,18.7227678039353,1.26555595142638,2.42424293352775,6.33300877424348,P99.5-P99.9
4278,2.59046579310811,4.39800867110275,22.1760441896221,0.312100835729133,1.7953142832877,5.10734530963636,P99.9-P99.99
475.75,1.02001553223342,6.29331630077226,27.6522443653809,0.050680747139074,0.695550277753902,5.58732172641831,Top 0.01%
,,,,,,,
,11.3028302154477,22.1820535393648,75.681787288305,3.15491504488142,6.59618856546938,21.2523156151098,
,42.95661068141,53.6348069459089,93.2173652947719,25.4220332823993,21.8586861144743,52.5370555386949,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,1980.6,,
